Y,X,id,typeKnoop
483811.699999999,115394.0,"14038998",Uitlaat vuilwater nooduitlaat
487845.97,121155.52,"14039322",(externe) Overstortput
489607.08,123953.579999998,"14039614",(externe) Overstortput
484631.944900001,121936.266199999,"14039687",(externe) Overstortput
486113.839999998,120628.48,"14039860",Uitlaat gemengde overstort
480160.460000003,130661.82,"14040013",(externe) Overstortput
480339.598100001,130024.615600001,"14040086",Interne Overstortput
487479.300000003,113155.0,"14040434",Uitlaat vuilwater nooduitlaat
485788.700000001,119692.399999999,"14040486",Uitlaat gemengde overstort
491656.440000002,126658.059999999,"14040556",Uitlaat vuilwater nooduitlaat
484267.500000002,125060.399999999,"14040691",Uitlaat vuilwater nooduitlaat
482269.000000001,122190.100000001,"14040696",Uitlaat vuilwater nooduitlaat
489097.45,120760.609999999,"14040725",(externe) Overstortput
486176.100000002,121075.800000001,"14040743",Uitlaat gemengde overstort
485595.360000001,126807.480000001,"14040972",Uitlaat vuilwater nooduitlaat
489348.500000001,122293.0,"14041112",(externe) Overstortput
488363.2,112248.600000002,"14041187",Uitlaat vuilwater nooduitlaat
485061.800000001,124339.300000001,"14041480",Uitlaat gemengde overstort
487577.809999998,121864.239999998,"14041752",(externe) Overstortput
484036.904400001,121561.261100002,"14041934",Interne Overstortput
482905.189400002,120974.1261,"14041969",Uitlaat vuilwater nooduitlaat
484623.164700003,120645.205800001,"14042094",Interne Overstortput
492029.399999999,122379.039999999,"14042146",Uitlaat vuilwater nooduitlaat
485899.286400002,120185.880800001,"14042366",Interne Overstortput
486487.835999998,119881.974100001,"14042563",(externe) Overstortput
488245.9,112359.399999999,"14042600",Uitlaat vuilwater nooduitlaat
480428.56,128553.039999999,"14042662",Uitlaat vuilwater nooduitlaat
484584.415200001,121112.299199998,"14042663",(externe) Overstortput
484993.97,122739.649999999,"14042738",Interne Overstortput
485594.55,122244.170000002,"14042894",Uitlaat gemengde overstort
486767.059999999,121540.969999999,"14042900",Uitlaat gemengde overstort
486717.100000005,125468.399999999,"14042941",(externe) Overstortput
485670.180000001,121742.379999999,"14043319",Uitlaat gemengde overstort
487702.300000003,119873.300000001,"14043359",Uitlaat vuilwater nooduitlaat
479897.019999999,131454.32,"14043535",Uitlaat gemengde overstort
486923.649999999,120647.149999998,"14043689",Uitlaat gemengde overstort
485547.360000001,112512.969999999,"14043761",Uitlaat vuilwater nooduitlaat
485600.13,126500.18,"14043816",Uitlaat vuilwater nooduitlaat
486838.848000003,121044.795000002,"14043842",Overstort met signalering
484895.500000002,113466.300000001,"14043891",Uitlaat vuilwater nooduitlaat
486045.810000001,126122.68,"14044069",Uitlaat vuilwater nooduitlaat
484561.330000002,121627.059999999,"14044189",(externe) Overstortput
485173.8,113651.0,"14044331",Uitlaat vuilwater nooduitlaat
484549.660000004,118954.469999999,"14044510",(externe) Overstortput
486618.49,121078.100000001,"14044540",Uitlaat gemengde overstort
488171.420000001,128606.739999998,"14044575",Uitlaat vuilwater nooduitlaat
489367.93,119256.300000001,"14044756",Uitlaat vuilwater nooduitlaat
486884.960000004,121844.989999998,"14044776",(externe) Overstortput
479807.700000001,126725.0,"14044824",Uitlaat vuilwater nooduitlaat
489590.800000002,128242.5,"14044825",Uitlaat vuilwater nooduitlaat
483726.000000003,115230.899999999,"14044849",Uitlaat vuilwater nooduitlaat
491426.530000003,126072.850000002,"14045063",Uitlaat vuilwater nooduitlaat
480886.400000001,126336.199999999,"14045066",Uitlaat vuilwater nooduitlaat
485668.29,121745.5,"14045084",(externe) Overstortput
487488.600000005,121104.739999998,"14045143",Uitlaat gemengde overstort
484407.5,114202.699999999,"14045329",Uitlaat vuilwater nooduitlaat
489041.910000002,118236.18,"14045336",Uitlaat vuilwater nooduitlaat
488948.210000002,120762.059999999,"14045405",Uitlaat gemengde overstort
488383.280000003,126317.260000002,"14045632",Uitlaat vuilwater nooduitlaat
484389.95,122637.120000001,"14045662",Overstort met signalering
484530.500000001,114286.0,"14045709",Uitlaat vuilwater nooduitlaat
478763.730000003,131610.329999998,"14045979",Uitlaat gemengde overstort
489725.44,123663.59,"14046396",(externe) Overstortput
485764.899999999,114286.699999999,"14046424",Uitlaat vuilwater nooduitlaat
483070.180000003,118472.960000001,"14046679",Uitlaat vuilwater nooduitlaat
485962.190000002,122540.73,"14046697",Uitlaat gemengde overstort
487614.899999998,113018.0,"14046785",Uitlaat vuilwater nooduitlaat
487604.300000001,112971.600000001,"14046962",Uitlaat vuilwater nooduitlaat
486621.000000003,120210.399999999,"14046963",Uitlaat gemengde overstort
487390.100000004,113252.0,"14046964",Uitlaat vuilwater nooduitlaat
483988.700000002,123813.5,"14047522",Uitlaat vuilwater nooduitlaat
479898.31,131455.579999998,"14047564",(externe) Overstortput
483840.899999998,114979.699999999,"14048074",Uitlaat vuilwater nooduitlaat
490840.909999999,123793.48,"14048122",(externe) Overstortput
487596.200000001,112509.199999999,"14048182",Uitlaat vuilwater nooduitlaat
486198.600000001,119226.300000001,"14048280",(externe) Overstortput
479410.550000002,131181.539999999,"14048386",Uitlaat gemengde overstort
484282.2,114148.5,"14048946",Uitlaat vuilwater nooduitlaat
488561.090000003,120548.850000002,"14049174",(externe) Overstortput
484212.010000004,120157.399999999,"14049332",Uitlaat gemengde overstort
492021.899999999,121787.399999999,"14049562",Uitlaat vuilwater nooduitlaat
485854.880000001,126680.690000001,"14049587",Uitlaat vuilwater nooduitlaat
488578.129999999,123135.559999999,"14050470",Uitlaat gemengde overstort
488678.600000003,122425.600000002,"14050538",Overstort met signalering
485029.559999999,123839.120000001,"14050776",Uitlaat vuilwater nooduitlaat
484935.950000002,122915.82,"14050814",Interne Overstortput
485911.691700002,122565.5123,"14051145",(externe) Overstortput
484593.940000004,121370.420000002,"14051212",Uitlaat gemengde overstort
488730.750000001,125867.09,"14051282",Uitlaat vuilwater nooduitlaat
489163.690000003,124486.469999999,"14051390",Uitlaat vuilwater nooduitlaat
491393.39,126323.420000002,"14051828",Uitlaat vuilwater nooduitlaat
477694.300000002,126012.199999999,"14051893",Uitlaat vuilwater nooduitlaat
486540.000000001,120361.800000001,"14051913",(externe) Overstortput
486505.730000003,121166.359999999,"14052209",Uitlaat gemengde overstort
488771.950000001,120602.02,"14052347",(externe) Overstortput
484958.000000004,113270.399999999,"14052480",Uitlaat vuilwater nooduitlaat
489875.25,129258.390000001,"14052632",Uitlaat vuilwater nooduitlaat
486356.810000001,123105.010000002,"14053053",Uitlaat gemengde overstort
488834.270000002,125616.25,"14053354",Uitlaat vuilwater nooduitlaat
483977.510000004,118957.879999999,"14054963",Uitlaat gemengde overstort
484247.400000001,114124.0,"14055318",Uitlaat vuilwater nooduitlaat
492274.631000001,121991.419,"14055443",(externe) Overstortput
493751.914600002,119441.959399998,"14055630",Uitlaat vuilwater nooduitlaat
487869.910000001,120840.780000001,"14055644",(externe) Overstortput
492121.550000002,121700.84,"14056350",Uitlaat vuilwater nooduitlaat
491057.950000001,126464.300000001,"14056397",Uitlaat vuilwater nooduitlaat
486259.666100001,119322.1954,"14056412",Uitlaat gemengde overstort
483899.0,115360.600000001,"14056479",Uitlaat vuilwater nooduitlaat
487764.100000002,112648.600000002,"14056611",Uitlaat vuilwater nooduitlaat
491460.080000001,122365.699999999,"14056650",Uitlaat vuilwater nooduitlaat
493760.530000003,119491.699999999,"14056786",Uitlaat vuilwater nooduitlaat
485447.210400002,120879.954999998,"14056970",Interne Overstortput
482974.000000004,118710.0,"14057225",Uitlaat vuilwater nooduitlaat
483917.4,116166.0,"14057641",Uitlaat vuilwater nooduitlaat
492341.160000003,122089.989999998,"14057685",Uitlaat gemengde overstort
488809.280000001,125747.52,"14057733",Uitlaat vuilwater nooduitlaat
484694.22,119089.550000001,"14058033",Uitlaat gemengde overstort
483619.9579,122453.9025,"14058138",Uitlaat vuilwater nooduitlaat
490685.500000001,124282.699999999,"14058256",(externe) Overstortput
484895.1894,124168.934500001,"14058567",Uitlaat gemengde overstort
487511.100000002,113053.100000002,"14058803",Uitlaat vuilwater nooduitlaat
492186.000000002,121871.579999998,"14059087",Uitlaat gemengde overstort
483899.399999999,115656.899999999,"14059107",Uitlaat vuilwater nooduitlaat
487662.590000002,121950.949999999,"14059120",Overstort met signalering
486352.95,121730.0,"14059158",Overstort met signalering
487413.600000005,112346.600000001,"14059473",Uitlaat vuilwater nooduitlaat
489278.100000005,125369.420000002,"14059806",Uitlaat gemengde overstort
487899.899999999,120405.699999999,"14059947",(externe) Overstortput
484456.489999999,115933.050000001,"14060304",Uitlaat vuilwater nooduitlaat
484895.510000002,120554.41,"14060348",(externe) Overstortput
480106.050000002,131334.91,"14060420",Uitlaat gemengde overstort
489857.63,128448.460000001,"14060560",Uitlaat vuilwater nooduitlaat
486080.200000002,122084.02,"14060764",Uitlaat gemengde overstort
484943.840000004,116188.399999999,"14061037",Uitlaat vuilwater nooduitlaat
489232.829999998,122217.440000001,"14061038",Uitlaat gemengde overstort
488726.650000001,117928.059999999,"14061088",Uitlaat vuilwater nooduitlaat
489556.958,124074.931600001,"14061202",(externe) Overstortput
481238.800000002,125461.300000001,"14061338",Uitlaat vuilwater nooduitlaat
484670.030000003,114593.149999999,"14061379",Uitlaat vuilwater nooduitlaat
483349.800000003,115133.0,"14061407",Uitlaat vuilwater nooduitlaat
482852.16,118735.940000001,"14061519",Uitlaat vuilwater nooduitlaat
483843.100000002,114829.399999999,"14061559",Uitlaat vuilwater nooduitlaat
483305.090000003,122357.34,"14061623",Uitlaat vuilwater nooduitlaat
482496.750000001,118608.780000001,"14061733",Uitlaat vuilwater nooduitlaat
486707.700000003,124353.300000001,"14062093",Uitlaat gemengde overstort
486113.090000001,120628.309999999,"14062130",(externe) Overstortput
483896.300000004,114671.800000001,"14062283",Uitlaat vuilwater nooduitlaat
